beer_name,review_overall,review_aroma,review_appearance,review_palate,review_taste,beer_abv,beer_style,brewery_name,review_count,style_embed
"""Six"" Belgian Style Table Beer",3.75,3.5,3.75,3.5,3.0,2.5,Belgian Pale Ale,Goose Island Beer Co.,2,-0.17921850085258484
"""Stout Stoat"" Stout",4.25,3.75,4.75,4.5,4.5,4.5,English Stout,Salamander Brewing Company,2,-0.11671420931816101
"""Talk To Me"" IPA",3.5,4.0,4.0,4.0,3.0,6.1,American IPA,CB's Brewing Company,1,-0.28257158398628235
"""The Bridge"" Nut-Brown Ale",2.375,2.75,3.375,2.375,2.25,4.86,English Brown Ale,Mackinaw Brewing Company,4,-0.2564704120159149
"""The Buk"" Pale Ale",4.285714285714286,4.0,4.142857142857143,4.071428571428571,4.071428571428571,5.5,American Pale Ale (APA),Wormtown Brewing Co.,7,-0.3648636043071747
"""The Mountain"" Ale",4.0,3.5,2.75,4.0,4.25,5.720000000000001,Witbier,Mogollon Brewing Company,2,0.44524097442626953
"""The Wind Cried Mari..."" Scottish Heather Ale",3.92,4.16,3.9,3.88,4.02,4.4,Scottish Gruit / Ancient Herbed Ale,Cambridge Brewing Company,25,-0.20062407851219177
"""Woosta"" Weizenbock",4.333333333333333,3.8333333333333335,3.1666666666666665,4.166666666666667,4.166666666666667,8.2,Weizenbock,Wormtown Brewing Co.,3,0.5409967303276062
#20 Jubilee (Yubilejnoe),3.5,3.0,3.0,3.0,3.5,4.6,Euro Pale Lager,Baltika Breweries,1,0.1341695338487625
&#268;erné Zámecké,2.25,3.25,3.5,3.25,2.75,4.2,Munich Dunkel Lager,Chodovar Brewery,2,0.2676950991153717
&#960;&#964;&#953;&#963;&#940;&#957;&#951; (tisane),3.75,3.5,4.0,3.75,3.75,2.0,Herbed / Spiced Beer,Les Brasseurs du Hameau,2,0.009793311357498169
'99 Wee Heavy Scotch Ale,5.0,4.5,5.0,5.0,4.75,7.7,Scotch Ale / Wee Heavy,The Vermont Pub & Brewery,2,-0.21013888716697693
'Bout Time Barley Wine,3.0,3.6,3.4,3.9,3.2,9.98,American Barleywine,Thirsty Dog Brewing Company,5,-0.10246458649635315
'Pooya Porter,4.25,4.5,3.75,4.0,4.5,5.5,American Porter,Calapooia Brewing Company,2,0.21495984494686127
'Sconnie Pale Ale,2.0,3.0,3.5,2.5,2.0,5.2155555555555555,American Pale Ale (APA),Wm. Kuether Brewing,1,-0.3648636043071747
'Sconnie Rustic Trail Amber,2.25,3.25,3.0,2.25,2.25,5.76,Altbier,Wm. Kuether Brewing,2,0.5084108114242554
'Sconnie Tall Blonde Ale,2.0,3.0,2.5,2.0,2.5,4.970000000000001,Kölsch,Wm. Kuether Brewing,1,0.5499070882797241
'Tis The Seasonator,4.0,3.0,4.0,3.0,3.5,9.5,Doppelbock,Anacapa Brewing Company,1,0.4923686683177948
'Vagabond Blonde' Blonde Ale,2.5,3.0,3.75,2.75,3.0,5.5,American Blonde Ale,Shire Reeve Brewing Company,2,-0.2778026759624481
'Zula Stout,3.8333333333333335,4.0,4.0,4.0,4.0,6.42,American Stout,Kettle House Brewing Co.,3,-0.22222724556922913
't Gaverhopke / Tired Hands Bitter Sweet Symphony,4.25,3.75,4.25,4.0,4.25,7.8,Belgian IPA,Brouwerij 't Gaverhopke,2,-0.09316614270210266
't Gaverhopke De Kriek (Red Cap),4.5,4.5,4.0,4.0,4.5,7.0,Fruit / Vegetable Beer,Brouwerij 't Gaverhopke,1,-0.01621389389038086
't Gaverhopke Den Blond 8° (White Cap),2.6666666666666665,2.75,3.0833333333333335,3.1666666666666665,2.8333333333333335,8.0,Belgian Strong Pale Ale,Brouwerij 't Gaverhopke,6,-0.18522727489471436
't Gaverhopke Den Bruin 8° (Blue Cap),3.5,3.5,3.1666666666666665,3.5,3.5,8.0,Belgian Strong Dark Ale,Brouwerij 't Gaverhopke,3,-0.16589781641960144
't Gaverhopke Extra,3.8958333333333335,3.8472222222222223,3.7708333333333335,4.0,4.020833333333333,12.0,Belgian Strong Dark Ale,Brouwerij 't Gaverhopke,72,-0.16589781641960144
't Gaverhopke Zingende Blondine,3.962962962962963,3.759259259259259,3.7777777777777777,3.925925925925926,4.0,9.8,Belgian Strong Pale Ale,Brouwerij 't Gaverhopke,27,-0.18522727489471436
't Goeye Goet Dubbel,4.25,4.25,4.0,4.0,4.5,7.0,Dubbel,Bierbrouwerij Openluchtmuseum Arnhem,2,0.40801912546157837
't Goeye Goet Winterbier,4.0,3.0,4.0,3.0,3.5,8.0,Belgian Strong Dark Ale,Bierbrouwerij Openluchtmuseum Arnhem,1,-0.16589781641960144
't Goeye Goet Wit Bier,4.5,4.0,5.0,5.0,4.5,5.0,Witbier,Bierbrouwerij Openluchtmuseum Arnhem,1,0.44524097442626953
't Hommelhof Cuvée Spéciale,4.0,3.5,3.8333333333333335,3.5,4.0,7.0,Belgian Strong Pale Ale,Brouwerij Van Eecke N.V.,3,-0.18522727489471436
't Schoenlappertje,3.5,3.7,3.85,3.5,3.45,5.0,Fruit / Vegetable Beer,Scheldebrouwerij,10,-0.01621389389038086
(904) WEISSGUY,4.0,4.5,4.0,4.0,4.5,4.5,Hefeweizen,Engine 15 Brewing Company,1,0.6190725564956665
0% Brett Saison De Lente,3.7,3.6,4.0,3.4,3.7,6.5,Saison / Farmhouse Ale,The Bruery,5,-0.23191258311271667
0666 Raspberry Jalapeno Ale,4.0,4.5,4.0,4.5,4.5,6.8,Chile Beer,Bandwagon Brew Pub,1,-0.06555026769638062
1 A.M. Ale,3.7333333333333334,3.6333333333333333,3.8,3.7666666666666666,3.7,4.5,English Pale Ale,Emmett's Brewing Company,15,-0.2627007067203522
"1,000th Batch Strong IPA",4.0,4.0,4.5,4.5,4.0,9.2,American Double / Imperial IPA,Beermann's Beerwerks,1,-0.2876265347003937
1.5 IPA,3.75,3.75,4.0,4.0,3.75,8.0,American IPA,Bristol Brewing Company,2,-0.28257158398628235
1/2 Wit,3.75,3.0,3.25,3.75,3.25,5.5,Witbier,Goose Island Beer Co.,2,0.44524097442626953
10 Barrel IPA,3.0,4.5,4.0,3.5,3.0,6.5,American IPA,10 Barrel Brewing Co.,1,-0.28257158398628235
10 Barrel Light,4.5,3.5,4.5,4.0,4.0,4.7,American Blonde Ale,10 Barrel Brewing Co.,1,-0.2778026759624481
10 Blocks South,3.5,3.5,3.5,3.5,4.0,5.5,American Pale Ale (APA),NoDa Brewing Company,1,-0.3648636043071747
10 Maradó,3.5,3.0,3.0,3.5,3.5,5.0,American Adjunct Lager,Cerveceria Revolucion,1,0.043954282999038696
10 Year Clelebration Ale,4.0,3.5,4.0,4.0,4.5,6.5,American IPA,Harmon Restaurant & Brewery,1,-0.28257158398628235
100 Mile Wheat,3.5,3.5,2.75,3.5,3.5,5.2,American Pale Wheat Ale,Rosie's Brewpub,2,-0.30808117985725403
100% Barrel Fermented Autumn Maple,3.414285714285714,3.857142857142857,3.7,3.6714285714285713,3.657142857142857,10.0,Fruit / Vegetable Beer,The Bruery,35,-0.01621389389038086
100% Brett Autumn Maple,3.9210526315789473,4.052631578947368,3.763157894736842,3.8421052631578947,4.0,10.0,American Wild Ale,The Bruery,19,-0.33344998955726624
100% Brett IPA,3.5,4.0,4.5,4.0,4.0,6.1,American IPA,Yazoo Brewing Company,1,-0.28257158398628235
1000 Monkeys Imperial Stout,3.5,3.5,4.0,3.5,3.5,10.0,Russian Imperial Stout,Paddock Wood Brewing Co.,1,-0.049226313829422
1060 EZ Taxation Ale,3.0,3.0,3.5,3.0,3.0,6.7,Fruit / Vegetable Beer,New Old Lompoc Brewery,1,-0.01621389389038086
1066,3.5,3.5,3.5,3.5,3.0,4.3,American Blonde Ale,Museum Brewing Company / White Shield Brewery,1,-0.2778026759624481
10W-30 Imperial Oatmeal Stout,3.8333333333333335,4.0,4.0,4.0,4.0,9.4,American Double / Imperial Stout,Five Seasons North,3,-0.21776488423347473
10th Anniversary Ale,3.75,3.5,4.25,4.0,4.25,9.36,Old Ale,Amherst Brewing Co.,2,-0.208486407995224
10th Anniversary Strong Belgian,5.0,5.0,3.0,5.0,5.0,9.25,Belgian Strong Dark Ale,Beach Chalet Brewery and Restaurant,1,-0.16589781641960144
10th Great British Beer Festival Anniversary Ale,4.5,4.5,3.5,3.0,4.0,5.140000000000001,English Porter,Pitfield Organic Brewery,1,0.3505847454071045
10th Street Cherry Wheat,3.5,3.25,3.625,3.0,3.5,5.75,American Pale Wheat Ale,Raccoon River Brewing Company,4,-0.30808117985725403
11,3.4285714285714284,3.642857142857143,3.7142857142857144,3.7142857142857144,3.5714285714285716,8.3,American Double / Imperial IPA,Bear Republic Brewing Co.,7,-0.2876265347003937
11 Siècles De Normandie,4.0,4.0,3.5,4.0,4.0,11.0,American Barleywine,Brasserie De La Chapelle,1,-0.10246458649635315
110K+OT Batch #1 - Der Rauch Gott,4.285714285714286,4.428571428571429,4.285714285714286,4.428571428571429,4.571428571428571,11.4,Smoked Beer,Cigar City Brewing,7,0.0705898255109787
110K+OT Batch #2 - I.R.I.S.,3.9245283018867925,4.1084905660377355,4.462264150943396,4.179245283018868,4.0754716981132075,11.5,Russian Imperial Stout,Cigar City Brewing,106,-0.049226313829422
110K+OT Batch #2 - I.R.I.S. - Barrel Aged,4.122222222222222,4.188888888888889,4.3,4.188888888888889,4.177777777777778,11.5,Russian Imperial Stout,Cigar City Brewing,45,-0.049226313829422
110K+OT Batch #2 - I.R.I.S. - Cherry Hazelnut Cacao Nib Bourbon Barrel Aged,4.0,4.5,4.0,4.5,4.5,11.5,Russian Imperial Stout,Cigar City Brewing,1,-0.049226313829422
110K+OT Batch #3 - The Other West Coast IPA,3.0964912280701755,3.4473684210526314,3.7850877192982457,3.3859649122807016,3.223684210526316,10.0,American Double / Imperial IPA,Cigar City Brewing,114,-0.2876265347003937
110K+OT Batch #3 - The Other West Coast IPA - Cedar Aged (Humidor Series),3.9285714285714284,4.071428571428571,4.0,3.857142857142857,4.071428571428571,10.0,American Double / Imperial IPA,Cigar City Brewing,7,-0.2876265347003937
110K+OT Batch #4 - Imperial Red Ale,3.6153846153846154,3.707692307692308,4.138461538461539,3.8153846153846156,3.6384615384615384,10.2,American Amber / Red Ale,Cigar City Brewing,65,-0.3161865174770355
11th Anniversary Double IPA,3.1666666666666665,3.1666666666666665,4.0,3.8333333333333335,3.1666666666666665,9.2,American Double / Imperial IPA,Cumberland Brews,3,-0.2876265347003937
11th Anniversary Pale Ale ( Project XI ),2.25,2.5,3.75,3.75,2.25,6.0,American Pale Ale (APA),Flying Bison Brewing Company,2,-0.3648636043071747
11th Anniversary Scottish Ale,4.0,3.75,4.25,3.75,3.25,8.5,Scottish Ale,Speakeasy Ales & Lagers,2,-0.2322547733783722
11th Hour IPA,3.456140350877193,3.3947368421052633,3.745614035087719,3.4035087719298245,3.3157894736842106,6.5,American IPA,Crow Peak Brewing,57,-0.28257158398628235
12 Dogs Of Christmas Ale,3.796153846153846,3.8076923076923075,3.746153846153846,3.669230769230769,3.8615384615384616,8.3,Winter Warmer,Thirsty Dog Brewing Company,130,0.2362152636051178
12 Horse Ale,3.0344827586206895,2.8448275862068964,3.3275862068965516,2.896551724137931,2.810344827586207,5.1,American Blonde Ale,Genesee Brewing Co. / Dundee Brewing Co.,29,-0.2778026759624481
12 Year Anniversary Ale,3.5,4.5,4.0,4.0,4.0,8.2,American IPA,No-Li Brewhouse,1,-0.28257158398628235
120 Shilling Ale,4.5,4.5,4.0,4.5,5.0,9.2,Scotch Ale / Wee Heavy,Lake Placid Craft Brewing Company,1,-0.21013888716697693
125 Celebratory Stout,2.5,3.5,3.5,2.5,2.5,4.0,English Stout,Wadworth and Company Ltd.,1,-0.11671420931816101
12th Street Pilsner (15th Anniversary),4.035714285714286,3.857142857142857,4.071428571428571,3.892857142857143,4.0,5.5,Czech Pilsener,Rogue Ales,14,0.6284887790679932
13,4.25,4.25,4.0,4.25,4.25,8.25,American Black Ale,BFM Brasserie Des Franches-Montagnes,2,-0.33364155888557434
13 Hour Wheat Wine,3.7857142857142856,4.071428571428571,3.7142857142857144,3.9285714285714284,4.142857142857143,10.959999999999999,Wheatwine,Fort Collins Brewing,7,0.09056639671325684
13e Étage,3.5,4.0,4.0,4.0,3.5,5.1,Herbed / Spiced Beer,Brasserie Dieu Du Ciel,1,0.009793311357498169
13th Anniversary Imperial India Pale Ale,3.5,3.5,3.5,4.0,3.5,8.5,American Double / Imperial IPA,No-Li Brewhouse,1,-0.2876265347003937
14 Year Anniversary Ale,3.0,3.0,3.0,3.25,3.0,9.2,American Double / Imperial IPA,No-Li Brewhouse,2,-0.2876265347003937
1429 Das Original,4.0,4.0,3.5,4.0,4.0,5.6,German Pilsener,Privatbrauerei Wittingen GmbH,1,0.5836557149887085
1492 IPA,4.0,4.25,4.25,3.75,4.25,6.0,American IPA,Toppling Goliath Brewing Company,2,-0.28257158398628235
15,4.0,4.0,4.0,4.0,3.5,8.4,American Brown Ale,Ellicottville Brewing Co.,1,-0.33238473534584045
150th Anniversary Ale,3.5,3.5,3.0,3.5,4.0,5.3757142857142854,Fruit / Vegetable Beer,Maumee Bay Brewing Company,1,-0.01621389389038086
150th Anniversary All Malt Lager,3.0714285714285716,2.4285714285714284,2.5,2.9285714285714284,2.642857142857143,4.96,American Pale Lager,Stevens Point Brewery,7,-0.09554329514503479
150th Anniversary Beer,2.5,2.5,2.5,3.0,2.5,5.54,American Amber / Red Lager,"City Brewing Company, LLC",1,-0.13555514812469482
152 Pilsner,4.5,5.0,4.5,5.0,4.5,5.039999999999999,Czech Pilsener,Big Ridge Brewing Co.,1,0.6284887790679932
1554 Enlightened Black Ale,3.9585849870578085,3.7269197584124245,3.9607420189818807,3.798533218291631,3.913718723037101,5.6,Belgian Dark Ale,New Belgium Brewing,1159,-0.16723307967185974
15th Anniversary,4.0,3.5,3.75,4.0,4.0,4.720000000000001,English Pale Ale,Broad Ripple Brew Pub,2,-0.2627007067203522
15th Anniversary Bourbon Barrel Aged Chocolate Stout,4.0,4.0,3.5,4.0,4.0,8.8,American Stout,Engine House No.9,1,-0.22222724556922913
15th Anniversary ESB,4.5,4.0,4.0,4.5,4.0,5.1,Extra Special / Strong Bitter (ESB),Goose Island Beer Co.,1,0.13803312182426453
15th Anniversary Imperial Bohemian Pilsner,3.5,4.0,3.5,3.5,3.5,6.6,American Double / Imperial Pilsner,Dunedin Brewery,1,0.27285969257354736
15th Anniversary Wood Aged,3.925490196078431,3.9862745098039216,4.252941176470588,4.08235294117647,4.08235294117647,10.0,American Double / Imperial IPA,Great Divide Brewing Company,255,-0.2876265347003937
15th Annivesary Cascadian Dark Ale,3.5,3.5,3.0,3.5,3.5,6.0,American Black Ale,Third Street Aleworks,1,-0.33364155888557434
16,4.0,3.75,3.5,3.5,4.25,8.4,American Strong Ale,Ellicottville Brewing Co.,2,-0.3154928982257843
16 Ton IPA,3.125,3.5,3.125,3.25,3.0,10.6,American Double / Imperial IPA,Breaker Brewing Company,4,-0.2876265347003937
16 Year Anniversary Ale,4.5,4.5,4.0,4.25,4.0,6.7,American IPA,No-Li Brewhouse,2,-0.28257158398628235
1602 Colonial Style Porter,3.388888888888889,3.7777777777777777,4.055555555555555,3.7777777777777777,3.6666666666666665,6.673506493506492,American Porter,Buzzards Bay Brewing,9,0.21495984494686127
1612er Zwickl Bier,4.2,3.6,3.6,4.0,3.9,5.3,Keller Bier / Zwickel Bier,Hofbräuhaus Traunstein Josef Sailer KG,5,0.38775020837783813
1635 (UU375),4.0,3.5,4.0,3.5,4.0,5.0,Euro Pale Lager,Brouwerij De Leckere,1,0.1341695338487625
1643 Original Lagerhell,4.0,4.0,4.0,3.5,3.5,4.9,Munich Helles Lager,Würzburger Hofbräu AG,1,0.29436808824539185
16th Anniversary ESB,4.0,3.8333333333333335,3.8333333333333335,4.0,4.0,6.2,Extra Special / Strong Bitter (ESB),Goose Island Beer Co.,3,0.13803312182426453
16th Anniversary Wood Aged,3.7657004830917873,3.763285024154589,4.041062801932367,3.859903381642512,3.8285024154589373,10.0,American Double / Imperial IPA,Great Divide Brewing Company,207,-0.2876265347003937
17 Year Anniversary Ale,3.0,4.5,4.0,3.0,3.5,9.2,American Double / Imperial IPA,No-Li Brewhouse,1,-0.2876265347003937
1701 Tricentennial Barleywine,3.0,2.5,2.0,2.5,3.0,10.5,American Barleywine,Oggi's Pizza & Brewing Co.,1,-0.10246458649635315
1731 Dark,3.9,3.9,3.9,3.8,3.9,5.0,Belgian Dark Ale,St. Sebastiaan Belgian Microbrewery,5,-0.16723307967185974
1776,3.8333333333333335,3.6666666666666665,4.0,3.6666666666666665,3.8333333333333335,6.849999999999999,American IPA,Minneapolis Town Hall Brewery,3,-0.28257158398628235
1784,3.1666666666666665,3.2222222222222223,3.388888888888889,3.2222222222222223,3.2222222222222223,5.4,Dortmunder / Export Lager,UAB Švyturys,9,0.390900582075119
17th Anniversary ESB,4.5,4.0,4.5,4.0,4.5,6.0,Extra Special / Strong Bitter (ESB),Goose Island Beer Co.,1,0.13803312182426453
17th Anniversary Wood Aged Double IPA,3.8304093567251463,3.8771929824561404,4.038011695906433,3.818713450292398,3.8421052631578947,10.0,American Double / Imperial IPA,Great Divide Brewing Company,171,-0.2876265347003937
18 Barrel IPA,4.5,4.25,4.25,4.0,4.5,6.1,American IPA,Jupiter,2,-0.28257158398628235
18 Hands Brown Ale,4.0,3.5,3.8333333333333335,3.8333333333333335,4.0,4.9,English Brown Ale,Colonial Brewing Company,3,-0.2564704120159149
1800 Old English IPA,4.128205128205129,4.153846153846154,4.153846153846154,4.17948717948718,4.141025641025641,6.8,English India Pale Ale (IPA),Minneapolis Town Hall Brewery,39,-0.2707068622112274
1803 Fat Ox Ale,4.25,4.0,3.75,4.0,4.25,6.0,American Brown Ale,CB's Brewing Company,2,-0.33238473534584045
1812 India Pale Ale,3.9166666666666665,3.8541666666666665,3.7708333333333335,4.041666666666667,3.8541666666666665,4.7,English India Pale Ale (IPA),Emerson's Brewery,24,-0.2707068622112274
1830 Porter,4.0,4.0,4.0,4.0,4.5,7.0,English Porter,Paddock Wood Brewing Co.,1,0.3505847454071045
1837,3.9274193548387095,3.774193548387097,3.782258064516129,3.7338709677419355,3.814516129032258,7.0,Belgian Strong Pale Ale,Unibroue,62,-0.18522727489471436
1849,3.1666666666666665,3.1666666666666665,3.6666666666666665,3.0,3.3333333333333335,4.5,Extra Special / Strong Bitter (ESB),Joseph Holt Group plc,3,0.13803312182426453
1849 Irish Red Ale,4.0,3.5,3.5,3.25,4.0,5.2,Irish Red Ale,Mattingly Brewing Company,2,-0.23761996626853943
1850 London Porter,3.75,3.5,3.875,3.875,4.125,5.6,English Porter,Full Circle Brewing Co.,4,0.3505847454071045
1850 Porter,4.5,4.0,3.75,3.25,4.0,5.3,English Porter,Paddock Wood Brewing Co.,2,0.3505847454071045
1850 Scotch Ale,3.5,3.5,3.5,4.0,3.5,5.0,Scottish Ale,JoBoy's Brew Pub,1,-0.2322547733783722
"186,000 MPS",3.45,3.2,3.3,3.15,3.2,12.0,American Malt Liquor,Listermann Brewing Supply & Mfg,10,-0.0027532577514648438
1860 IPA,4.0,3.6875,3.9375,3.8541666666666665,3.7083333333333335,6.1,American IPA,Stoudts Brewing Co.,24,-0.28257158398628235
1871 Lager,4.166666666666667,3.6666666666666665,3.6666666666666665,3.8333333333333335,4.0,6.0,American Pale Lager,Emmett's Brewing Company,3,-0.09554329514503479
1881,3.3333333333333335,4.0,3.5833333333333335,3.5833333333333335,3.6666666666666665,6.7,Belgian Dark Ale,Microbrasserie La Chouape,6,-0.16723307967185974
1891 Honey Porter,3.5,4.0,3.5,3.5,4.0,5.0,English Porter,The Pumphouse Bar,1,0.3505847454071045
1897 Stanley Park Amber,3.388888888888889,3.388888888888889,3.4444444444444446,3.4444444444444446,3.4444444444444446,5.1,American Amber / Red Ale,Hell's Gate Brewing Company,9,-0.3161865174770355
18th Anniversary ESB,4.333333333333333,4.333333333333333,4.0,3.8333333333333335,4.166666666666667,6.0,Extra Special / Strong Bitter (ESB),Goose Island Beer Co.,3,0.13803312182426453
1900 Amber Lager,3.5675675675675675,3.1486486486486487,3.4864864864864864,3.472972972972973,3.445945945945946,4.5,American Amber / Red Lager,Fort Collins Brewing,37,-0.13555514812469482
1906 Reserva Especial,2.9,2.825,3.25,3.1,2.9,6.5,Bock,"Hijos De Rivera, S.A.",20,0.4529855251312256
1906 Reserva Especial Can,4.0,4.5,4.0,3.5,5.0,4.6,American Amber / Red Lager,"Hijos De Rivera, S.A.",1,-0.13555514812469482
1908,4.5,5.0,3.0,5.0,5.0,6.5,Smoked Beer,Witch's Hat Brewing Co.,1,0.0705898255109787
1913 Traditional Kolsch,3.5,3.3181818181818183,3.5454545454545454,3.5454545454545454,3.3636363636363638,4.5,Kölsch,Grand River Brewing,11,0.5499070882797241
1972,4.0,4.0,3.75,4.25,4.0,9.6,Belgian Strong Dark Ale,Five Seasons Westside,2,-0.16589781641960144
1984 Golden Ale,4.0,3.5,3.75,4.0,3.75,4.7,Cream Ale,Mattingly Brewing Company,2,-0.1892589032649994
1997 Saison,4.5,3.5,3.0,3.5,3.5,7.040000000000001,Saison / Farmhouse Ale,Crown City Brewery,1,-0.23191258311271667
19th Anniversary ESB,4.166666666666667,4.222222222222222,4.0,4.055555555555555,4.222222222222222,5.1,Extra Special / Strong Bitter (ESB),Goose Island Beer Co.,9,0.13803312182426453
19th Hole Ale,3.8333333333333335,3.7777777777777777,3.5555555555555554,3.5555555555555554,3.6666666666666665,5.071428571428571,American Pale Wheat Ale,CB's Brewing Company,9,-0.30808117985725403
1er Anniversaire,3.625,3.625,4.0,3.625,3.5,7.2,Dubbel,Brasserie Dunham,4,0.40801912546157837
1st Anniversary Ale,3.8333333333333335,3.6666666666666665,3.3333333333333335,3.6666666666666665,4.0,8.0,American Wild Ale,Flat Tail Brewing,3,-0.33344998955726624
1st Anniversary Red Wheat,4.214285714285714,4.071428571428571,4.0,4.0,4.142857142857143,6.1,American Dark Wheat Ale,The Tap Brewing Company,7,-0.29840096831321716
"2  Penny Ale, Bourbon Barrel Aged",4.0,4.5,3.5,4.0,4.5,13.0,American Barleywine,Skagit River Brewery,1,-0.10246458649635315
2 Brewers 1 Pint,4.0,4.0,4.0,4.0,4.0,5.0,American Brown Ale,Bluegrass Brewing Co. - East St. Matthew's,1,-0.33238473534584045
2 Daves IPA,3.75,3.5,3.75,3.25,4.0,7.0,American IPA,Powerhouse Brewing Company's Columbus Bar,2,-0.28257158398628235
2 Hills Maibock,4.0,4.0,3.875,4.25,4.0,6.8,Maibock / Helles Bock,Hargreaves Hill Brewing Company,4,0.46534162759780884
2 Legit 2 Wit,3.0,3.25,4.0,3.75,3.0,5.7,Witbier,Mother Earth Brew Co.,2,0.44524097442626953
2 Pint IPA,3.3333333333333335,3.6666666666666665,4.0,3.3333333333333335,3.5,9.5,American Double / Imperial IPA,Ellersick Brewing Company,3,-0.2876265347003937
2 Sisters Stout,3.861111111111111,3.8055555555555554,4.138888888888889,3.7777777777777777,3.9166666666666665,6.6,American Stout,Amherst Brewing Co.,18,-0.22222724556922913
2 Turtle Doves,3.9030172413793105,4.051724137931035,4.071120689655173,4.025862068965517,4.109913793103448,12.0,Belgian Strong Dark Ale,The Bruery,232,-0.16589781641960144
2 Turtle Doves (Vanilla Beans),4.125,4.125,4.375,4.375,4.125,12.0,Belgian Strong Dark Ale,The Bruery,4,-0.16589781641960144
20 Year Amber Ale,4.0,3.5,3.5,3.0,3.5,5.84,American Amber / Red Ale,Brewsters Brewing Company & Restaurant - Oliver Square,1,-0.3161865174770355
2001 - A Stout Odyssey,3.0,3.5,4.0,3.0,3.0,8.0,American Double / Imperial Stout,Broad Ripple Brew Pub,1,-0.21776482462882996
2004 Grand Cru,3.5,4.5,3.5,4.0,4.0,8.0,Belgian Strong Pale Ale,BJ's Restaurant & Brewhouse,1,-0.18522727489471436
2005 Grand Cru,5.0,4.5,4.5,4.5,5.0,8.5,Belgian Strong Pale Ale,BJ's Restaurant & Brewhouse,1,-0.18522727489471436
"2009 Arquebus, Ch. Boswell Barrel Finish With Brett",4.5,5.0,3.0,4.0,5.0,11.0,American Barleywine,Cambridge Brewing Company,1,-0.10246458649635315
2010 Bluesapalooza,3.05,3.2,3.65,3.4,3.0,9.0,American Double / Imperial Stout,Mammoth Brewing Company,10,-0.21776482462882996
2010 Reserve Amber Ale,3.111111111111111,3.2777777777777777,3.2777777777777777,2.8333333333333335,3.0,5.2,American Amber / Red Ale,Endeavour Beverages,9,-0.3161865174770355
2010 Reserve Pale Ale,3.375,3.625,3.25,2.8125,2.875,4.5,American Pale Ale (APA),Endeavour Beverages,8,-0.3648636043071747
2011 ICBG Replicale,4.5,4.5,4.5,4.5,4.5,5.6,Belgian Pale Ale,Lunar Brewing,1,-0.17921850085258484
2011 Owens Valley Wet Harvest Lager,4.0,4.0,4.0,4.0,4.0,6.8,American Pale Lager,Mammoth Brewing Company,1,-0.09554329514503479
2011 Reserve Amber Ale,3.5,4.0,4.0,3.0,3.5,5.2,American Amber / Red Ale,Endeavour Beverages,1,-0.3161865174770355
2011 Reserve Pale Ale,4.0,3.5,3.5,4.0,3.75,4.5,American Pale Ale (APA),Endeavour Beverages,2,-0.3648636043071747
2012 Black Ale,3.575,3.5,3.76,3.46,3.59,4.66,American Brown Ale,Stevens Point Brewery,100,-0.33238479495048523
20th Anniversary American IPA,3.5,4.0,3.5,3.5,3.0,6.5,American IPA,Oggi's Pizza & Brewing Co.,1,-0.28257158398628235
